idaviso,idpostulante,sepostulo,fechanacimiento,sexo,age,nombre,estado,titulo,nombre_zona,ciudad,tipo_de_trabajo,nivel_laboral,nombre_area,denominacion_empresa
1112437281,dYo99JY,0,1990-09-10,MASC,27,Universitario,En Curso,Analista de gastos ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Auditoría,Pullmen Servicios Empresarios S.A.
1112452780,ZDPZpx8,0,1989-01-10,MASC,29,Terciario/Técnico,En Curso,Chofer Camion,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Transporte,RH Ideas &amp; Soluciones
1112252491,OqjYdjW,0,1983-03-10,MASC,35,Secundario,Graduado,Vendedor de Repuestos de Motos,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Vinculos Consultores en RRHH
1112252491,8MP2KAl,1,1992-03-08,MASC,26,Secundario,Graduado,Vendedor de Repuestos de Motos,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Vinculos Consultores en RRHH
1112286602,X9o5G8d,0,1992-11-14,FEM,25,Terciario/Técnico,En Curso,Técnico electromecánico - Tio Pujio/Villa María,Gran Buenos Aires,,Full-time,Junior,Oficios y Profesiones,Consultores de Empresas SRL
1112051261,KBzkEvq,0,1991-08-03,MASC,26,Universitario,En Curso,Oficial de inversiones (Zárate) ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Banco Columbia SA
1112312747,vVjVb95,0,1996-10-03,FEM,21,Universitario,En Curso,Analista Contable,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Contabilidad,Hidalgo & Asociados
1112355376,mzd68rd,0,1978-12-08,MASC,39,Universitario,Graduado,Vendedor Externo,Gran Buenos Aires,,Part-time,Otro,Ventas,NEOBIDET
1112232299,ZWQqbZ,0,1980-12-11,MASC,37,Universitario,Graduado,Gerente de Mantenimiento para región Cuyo,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ingeniería  Eléctrica y Electrónica,RANDSTAD
1112232299,eNQKAW,1,1969-08-30,MASC,48,Universitario,Graduado,Gerente de Mantenimiento para región Cuyo,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ingeniería  Eléctrica y Electrónica,RANDSTAD
1112286293,KBe4rep,0,1987-02-11,FEM,31,Universitario,En Curso,Clarkista Z/ Spegazzini,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Transporte,Pullmen Servicios Empresarios S.A.
1112274655,LNKV3WB,0,1999-06-15,FEM,19,Universitario,En Curso,ANALISTA DE INVENTARIO Y COMPRAS,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Abastecimiento,Natural Life
1112450977,1QPpxYO,0,1992-01-31,MASC,26,Universitario,En Curso,Consultor ABAP SR/SSR/JR,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Legal,Atos Argentina
1112290573,MVz93pN,0,1996-03-22,FEM,22,Universitario,En Curso,Chofer para Reparto,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Transporte,Transporte Frio
1112290573,eL9NQ8,1,1987-12-22,MASC,30,Secundario,Graduado,Chofer para Reparto,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Transporte,Transporte Frio
1112290573,ak5kAMN,1,1977-12-31,MASC,40,Secundario,Graduado,Chofer para Reparto,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Transporte,Transporte Frio
1112179671,GNJ9bG9,0,1990-07-30,FEM,27,Secundario,Graduado,Estudiantes de Sistemas para Bootcamp - La Plata!,Gran Buenos Aires,,Full-time,Junior,Tecnologia / Sistemas,GlobalLogic
1112336153,5P5NZw,0,1986-08-06,FEM,31,Secundario,Graduado,17 Feb - QA Engineers (USD$30K/yr) - Online Hiring Tournament - 100% Remote,Gran Buenos Aires,,Teletrabajo,Senior / Semi-Senior,Programación,CrossOver
1112271846,1BP0Lj,0,1991-09-12,MASC,26,Universitario,En Curso,"DT-  Camareros, Ayudantes de cocina y Personal de maestranza  Con libreta Sanitaria Vigente",Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Gastronomia,Grupo Gestión
1112271846,OqbGdGB,1,1998-02-09,FEM,20,Secundario,Graduado,"DT-  Camareros, Ayudantes de cocina y Personal de maestranza  Con libreta Sanitaria Vigente",Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Gastronomia,Grupo Gestión
1112249618,Oqj95ld,0,1965-05-06,FEM,53,Secundario,Graduado,Personal Administrativo  LA PLATA,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Administración,galia
1112294473,1MZK13,0,1992-03-20,FEM,26,Secundario,Graduado,Analista Contable Senior ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Contabilidad,Eclecsis Recursos Humanos
1112294473,Ezp9L09,1,1991-09-23,FEM,26,Secundario,Graduado,Analista Contable Senior ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Contabilidad,Eclecsis Recursos Humanos
1112440531,Yj5DEmD,0,1978-10-31,MASC,39,Secundario,Graduado,Vendedor Viajante (Harinas) con Movilidad Propia - NEUQUEN,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,ESTUDIO SANCHEZ SALAS Y ASOCIADOS SRL 
1112440531,akb0jQ0,1,1962-05-18,MASC,56,Secundario,Graduado,Vendedor Viajante (Harinas) con Movilidad Propia - NEUQUEN,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,ESTUDIO SANCHEZ SALAS Y ASOCIADOS SRL 
1112456210,GNdAEQb,0,1992-09-29,MASC,25,Secundario,Graduado,Jefe de Ventas,Gran Buenos Aires,,Full-time,Jefe / Supervisor / Responsable,Ventas,Zivot Consultora en RH
1112160072,vVDrzMP,0,1996-12-23,MASC,21,Secundario,Graduado,Planner de producción ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Programación de producción,RANDSTAD
1112257320,W9WdEoX,0,1989-07-27,FEM,28,Secundario,Graduado,Programador .NET Ssr,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Programación,Aliantec
1112349978,wVk2VRB,0,1984-02-16,MASC,34,Secundario,Graduado,Vendedor en La Plata,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Garbarino
1112349978,rm060K6,1,1998-06-30,FEM,19,Terciario/Técnico,En Curso,Vendedor en La Plata,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Garbarino
1112411440,vVkl5Zo,0,1993-03-12,MASC,25,Secundario,Graduado,Técnicos Graduados con Experiencia - Quilmes ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Producción,Excelencia Laboral S.A.
1112327189,lD5Eod8,0,1991-01-19,FEM,27,Universitario,Graduado,Administrador de Redes y Seguridad,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Redes,Lighthouse Smart
1112327189,Yjl44AX,1,1990-08-15,FEM,27,Secundario,Graduado,Administrador de Redes y Seguridad,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Redes,Lighthouse Smart
1112400049,pzjmw0Z,0,1982-01-07,FEM,36,Universitario,Abandonado,ADMINISTRATIVO DE OBRA,Gran Buenos Aires,,Full-time,Jefe / Supervisor / Responsable,Administración,SANIOBRAS S.A.
1112400049,EzpwVl8,1,1992-11-06,FEM,25,Secundario,Graduado,ADMINISTRATIVO DE OBRA,Gran Buenos Aires,,Full-time,Jefe / Supervisor / Responsable,Administración,SANIOBRAS S.A.
1112400049,Drp1wXK,1,1972-08-08,MASC,45,Universitario,Abandonado,ADMINISTRATIVO DE OBRA,Gran Buenos Aires,,Full-time,Jefe / Supervisor / Responsable,Administración,SANIOBRAS S.A.
1112307748,5mrEvmM,0,1993-09-24,FEM,24,Terciario/Técnico,En Curso,Responsable Comercial  y Atención a Clientes para  Mutual. Sucursal Alta Gracia,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Grimblat & Asociados Consultora
1112372181,0zPY3Er,0,1992-07-10,FEM,25,Universitario,En Curso,P - Promotor de Ventas (Laboratorio Veterinario),Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Grupo Gestión
1112372181,qev5L2x,1,1977-06-10,MASC,41,Otro,En Curso,P - Promotor de Ventas (Laboratorio Veterinario),Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Grupo Gestión
1112336108,W9Pdr6e,0,1985-06-16,FEM,33,Universitario,Graduado,Feb 17 - Software Architects (USD$60 K/yr) - Online Hiring Tournament - 100% Remote,Gran Buenos Aires,,Teletrabajo,Senior / Semi-Senior,Programación,CrossOver
1112262162,4reY0kK,0,1990-06-09,MASC,28,Otro,Graduado,Responsable de Compras Ssr,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Administración,BUERAS S A
1112319699,8Pa0YO,0,1970-01-29,FEM,48,Terciario/Técnico,Graduado,PL-Cadete Administrativo Zona Pilar,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Cadetería,Grupo Gestión
1112303228,akOdEr9,0,1996-11-07,FEM,21,Universitario,En Curso,Operarios de producción,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Producción,Adecco -Región GBA SUR
1112303228,3NzOYda,1,1984-03-23,MASC,34,Secundario,Graduado,Operarios de producción,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Producción,Adecco -Región GBA SUR
1112303228,MVdEQP9,1,1987-10-18,MASC,30,Secundario,Graduado,Operarios de producción,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Producción,Adecco -Región GBA SUR
1112470235,2zQxbAa,0,1980-08-05,FEM,37,Universitario,Graduado,Supervisor de Empresa Seguridad  Privada (ex Policía o Militar ),Gran Buenos Aires,,Full-time,Jefe / Supervisor / Responsable,Administración,GIOMON S.R.L
1112263319,eJApoB,0,1987-09-30,FEM,30,Master,En Curso,Administrativo de ventas,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Contabilidad,Adecco - Región Centro Norte y Agro.
1112450617,awMMN5,0,1985-11-25,FEM,32,Universitario,Graduado,Facturista con experiencia en Productos e insumos médicos para importante empresa en Microcentro,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Facturación,People Process Consultores
1112417275,lDLVwzz,0,1980-06-24,MASC,37,Secundario,Graduado,Personal para atención al cliente con movilidad (furgon Chico t/fiorino),Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Transporte,Prohygiene
1112327210,A3X4zMm,0,1991-09-02,FEM,26,Secundario,Graduado,Carniceros,Gran Buenos Aires,,Full-time,Otro,Oficios y Profesiones,Manpower
1112260579,JBr3q9b,0,1993-02-07,MASC,25,Secundario,En Curso,YPF GAS BUSCA chofer / vendedor / repartidor ,Gran Buenos Aires,,Full-time,Junior,Otros,Zapiola Gas S.A.
1112208765,BmDx830,0,1983-08-16,FEM,34,Secundario,En Curso,Repositor externo Zona Oeste,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Almacén / Depósito / Expedición,Adecco -Sales & Marketing 
1112208765,NzP3akM,1,1996-11-23,FEM,21,Secundario,Graduado,Repositor externo Zona Oeste,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Almacén / Depósito / Expedición,Adecco -Sales & Marketing 
1112208765,akOpQ10,1,1992-03-04,MASC,26,Secundario,Graduado,Repositor externo Zona Oeste,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Almacén / Depósito / Expedición,Adecco -Sales & Marketing 
1112421669,BmalapE,0,1971-01-27,FEM,47,Terciario/Técnico,Graduado,Analista SOFT de RRHH ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Recursos Humanos,NOHO Consultores en Recursos Humanos
1112421669,NBkq3l,1,1976-09-29,FEM,41,Universitario,Graduado,Analista SOFT de RRHH ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Recursos Humanos,NOHO Consultores en Recursos Humanos
1112300439,e058Qo,0,1983-10-02,FEM,34,Universitario,En Curso,Guía de Actividades,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Turismo,Garruchos S.A.
1112413164,qeYd0kX,0,1989-12-23,FEM,28,Secundario,Graduado,Operador de Call Center - Part Time,Gran Buenos Aires,,Part-time,Senior / Semi-Senior,Call Center,VISITAR - Management en Salud
1112413164,ekNeRq8,1,1993-02-04,MASC,25,Universitario,En Curso,Operador de Call Center - Part Time,Gran Buenos Aires,,Part-time,Senior / Semi-Senior,Call Center,VISITAR - Management en Salud
1112366091,ZDrQEwR,0,1988-02-06,MASC,30,Universitario,En Curso,Encargado de local/ Cajero.,Gran Buenos Aires,,Part-time,Senior / Semi-Senior,Gastronomia,Taco Box Castelar
1112414346,NzParED,0,1970-06-01,FEM,48,Secundario,Graduado,Ejecutivos de cuentas  Freelance ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Growth Human Resources
1112429870,MVdbOKr,0,1989-12-22,FEM,28,Secundario,Graduado,Vendedor en Necochea,Gran Buenos Aires,,Full-time,Junior,Ventas,Garbarino
1112437870,96XvZ5p,0,1976-04-10,FEM,42,Secundario,Graduado,Administrativo de Compras y Control -  NEUQUEN - ESTUDIO SANCHEZ SALAS,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Administración,ESTUDIO SANCHEZ SALAS Y ASOCIADOS SRL 
1112371964,Dr6K4od,0,1993-08-21,FEM,24,Terciario/Técnico,En Curso,GESTIÓN DE TURNOS Y RECEPCIÓN DE PACIENTE PARA EL TURNO TARDE,Gran Buenos Aires,,Full-time,Junior,Salud,Centro Diagnostico Bioimagenes S.A.
1112371964,8MPZK8L,1,1990-10-11,MASC,27,Secundario,Graduado,GESTIÓN DE TURNOS Y RECEPCIÓN DE PACIENTE PARA EL TURNO TARDE,Gran Buenos Aires,,Full-time,Junior,Salud,Centro Diagnostico Bioimagenes S.A.
1112371964,EzeReZ2,1,1996-07-19,FEM,21,Secundario,Graduado,GESTIÓN DE TURNOS Y RECEPCIÓN DE PACIENTE PARA EL TURNO TARDE,Gran Buenos Aires,,Full-time,Junior,Salud,Centro Diagnostico Bioimagenes S.A.
1112366929,LNw2lP5,0,1981-08-04,FEM,36,Terciario/Técnico,En Curso,"Atención al Cliente - Con Francés, Holandés o Alemán Avanzado",Gran Buenos Aires,,Full-time,Junior,Atención al Cliente,Adecco -Región Office
1112417543,xkpzpXP,0,1969-02-01,FEM,49,Posgrado,Graduado,Técnico/a de seguridad e higiene (ref. 48482),Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Otras Ingenierias,RANDSTAD
1112144621,Nkw2jB,0,1988-12-19,FEM,29,Secundario,Graduado,Analista de Comex,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Compras Internacionales/Importación,ITB 
1112364685,qe23zmX,0,1994-03-25,MASC,24,Secundario,Graduado,Técnico de mantenimiento eléctrico - Para Hotel 5 estrellas CABA,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ingeniería  Eléctrica y Electrónica,Manpower
1112308360,zv80kO5,0,1994-03-09,FEM,24,Secundario,Graduado,Técnico Electricista,Gran Buenos Aires,,Full-time,Otro,Oficios y Profesiones,ALTA ELECTRICIDAD S.R.L.
1111999611,pz9K24b,0,1998-04-20,FEM,20,Universitario,En Curso,Cajero para Pintureria MARTEL -  Salta,Capital Federal,,Full-time,Otro,Facturación,Consultora CIL
1112347429,mzdaM3E,0,1994-08-27,MASC,23,Universitario,En Curso,TÉCNICO ELECTRÓNICO CON EXPERIENCIA EN MEDIA Y ALTA TENSIÓN- PLANTA ALIMENTICIA  QUILMES OESTE,Gran Buenos Aires,,Full-time,Otro,Ingeniería  Eléctrica y Electrónica,LF Consultoras
1112347429,xkvDkxz,1,1986-02-21,MASC,32,Terciario/Técnico,Graduado,TÉCNICO ELECTRÓNICO CON EXPERIENCIA EN MEDIA Y ALTA TENSIÓN- PLANTA ALIMENTICIA  QUILMES OESTE,Gran Buenos Aires,,Full-time,Otro,Ingeniería  Eléctrica y Electrónica,LF Consultoras
1112288001,DrJlB6Z,0,1990-10-11,FEM,27,Universitario,Abandonado,Administrativo,Gran Buenos Aires,,Full-time,Junior,Administración,CONA CONSULTORES EN RRHH
1112455023,5mPp4OZ,0,1987-11-04,FEM,30,Universitario,En Curso,ASISTENTE DE JEFE DE TALLER - ZONA SUR,Gran Buenos Aires,,Full-time,Junior,Administración,COMPAÑIA GENERAL DE EQUIPAMIENTO S.R.L
1112282245,aaOLW0,0,1989-07-15,FEM,28,Otro,En Curso,Analista Jr RRHH Hard,Gran Buenos Aires,,Full-time,Junior,Recursos Humanos,Swiss Medical Group
1112282245,e8XwK8,1,1985-12-08,MASC,32,Universitario,En Curso,Analista Jr RRHH Hard,Gran Buenos Aires,,Full-time,Junior,Recursos Humanos,Swiss Medical Group
1112282245,ZQNDEV,1,1990-10-24,MASC,27,Universitario,En Curso,Analista Jr RRHH Hard,Gran Buenos Aires,,Full-time,Junior,Recursos Humanos,Swiss Medical Group
1112282245,YL15j1,1,1992-05-11,FEM,26,Universitario,En Curso,Analista Jr RRHH Hard,Gran Buenos Aires,,Full-time,Junior,Recursos Humanos,Swiss Medical Group
1112282245,JBmzAVp,1,1994-07-02,MASC,23,Universitario,En Curso,Analista Jr RRHH Hard,Gran Buenos Aires,,Full-time,Junior,Recursos Humanos,Swiss Medical Group
1112282245,aMGEaE,1,1991-06-04,MASC,27,Universitario,En Curso,Analista Jr RRHH Hard,Gran Buenos Aires,,Full-time,Junior,Recursos Humanos,Swiss Medical Group
1112400873,wVY3mmd,0,1976-09-19,MASC,41,Secundario,Graduado,Vendedor Técnico ,Capital Federal,,Full-time,Senior / Semi-Senior,Ventas,Excelencia Laboral S.A.
1112243170,dYj3ZVY,0,1998-04-23,MASC,20,Secundario,Graduado,Operario de deposito con manejo de Clark -Zona Garin ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Producción,BAYTON
1112237745,mzGQXlG,0,1995-02-05,FEM,23,Secundario,Graduado,Jefe de Salón,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Gastronomia,Adecco -Región Office
1112248961,X9lxz6x,0,1969-09-02,MASC,48,Posgrado,En Curso,Técnico Electromecánico,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Mantenimiento,Assistem
1112008236,zvxdAb5,0,1987-05-07,MASC,31,Secundario,Graduado,JEDE DE OBRA,Capital Federal,,Temporario,Jefe / Supervisor / Responsable,Construcción,BAUGE CONSTRUCCIONES S.A.
1112359574,KBr02AY,0,1990-10-10,MASC,27,Secundario,Graduado,Técnicos de mantenimiento  de ATM,Gran Buenos Aires,,Full-time,Junior,Seguridad Informática,Suministra
1112259923,1MMPLR,0,1993-04-20,FEM,25,Universitario,En Curso,Asesoras comerciales Z/San Isidro,Gran Buenos Aires,,Part-time,Otro,Ventas,BAYTON
1112259923,4rW8eaR,1,1993-05-29,FEM,25,Secundario,Graduado,Asesoras comerciales Z/San Isidro,Gran Buenos Aires,,Part-time,Otro,Ventas,BAYTON
1112392466,VNkjEpd,0,1985-06-01,FEM,33,Secundario,Graduado,Chef / Gerente de A y B ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Gastronomia,GI GROUP Argentina
1112362674,DrpZ6XP,0,1997-04-01,MASC,21,Secundario,En Curso,VENDEDOR/A EDITORIAL -VIAJANTE PARA EL INTERIOR DEL PAÍS,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,Divertilibros
1112364686,EzpAXKo,0,1986-12-18,MASC,31,Terciario/Técnico,En Curso,Gestor/a de cobranzas PART-TIME,Gran Buenos Aires,,Part-time,Otro,Call Center,Estudio Mediar
1112364686,bO4VDY9,1,1994-10-21,FEM,23,Universitario,En Curso,Gestor/a de cobranzas PART-TIME,Gran Buenos Aires,,Part-time,Otro,Call Center,Estudio Mediar
1112364686,DrXPbXa,1,1976-02-01,MASC,42,Universitario,Abandonado,Gestor/a de cobranzas PART-TIME,Gran Buenos Aires,,Part-time,Otro,Call Center,Estudio Mediar
1112364686,Ezlqxo9,1,1997-10-07,MASC,20,Otro,Graduado,Gestor/a de cobranzas PART-TIME,Gran Buenos Aires,,Part-time,Otro,Call Center,Estudio Mediar
1112364686,eko5dG9,1,1989-10-12,FEM,28,Universitario,En Curso,Gestor/a de cobranzas PART-TIME,Gran Buenos Aires,,Part-time,Otro,Call Center,Estudio Mediar
1112326079,NzrmbkM,0,1987-06-01,FEM,31,Universitario,Graduado,CONTROL DE CALIDAD ,Gran Buenos Aires,,Full-time,Otro,Otros,ELY
1112326079,vVjG9z1,1,1988-09-21,FEM,29,Universitario,En Curso,CONTROL DE CALIDAD ,Gran Buenos Aires,,Full-time,Otro,Otros,ELY
1112255884,3NPGmG6,0,1998-08-22,MASC,19,Universitario,En Curso,Almacenista,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Almacén / Depósito / Expedición,RANDSTAD
1112255884,ZDameo5,1,1988-09-12,MASC,29,Universitario,Graduado,Almacenista,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Almacén / Depósito / Expedición,RANDSTAD
1112440571,LNwrx55,0,1984-08-20,MASC,33,Posgrado,En Curso,RECONTADOR - CAJERO NEUQUEN,Capital Federal,,Full-time,Senior / Semi-Senior,Tesorería,JUNCADELLA
1112241148,dYzlbP2,0,1997-04-23,FEM,21,Otro,Graduado,Empleada Contable,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Contabilidad,Adecco - Región NORTE & OESTE GBA
1112348507,0zNqXXM,0,1989-05-18,FEM,29,Universitario,En Curso,Asesor Comercial - Mendoza,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,OSDEPYM
1112427386,awp8V9,0,1977-04-12,FEM,41,Terciario/Técnico,En Curso,Asistente Administrativo,Capital Federal,,Full-time,Junior,Administración,Oversoft S.A
1112441852,akDMrNE,0,1981-01-14,MASC,37,Universitario,En Curso,Empleada para Fabrica de bijouterie,Capital Federal,,Full-time,Junior,Otros,Brillo de Luna
1112261861,EEDvK4,0,1971-04-10,MASC,47,Terciario/Técnico,Graduado,Consultor Generalista en RRHH (Rosario Centro),Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Selección,RANDSTAD
1112346788,1RQ6XN,0,1980-01-11,MASC,38,Terciario/Técnico,Graduado,Vendedor Dual - Saladillo,Gran Buenos Aires,,Full-time,Otro,Atención al Cliente,BAYTON
1112372093,VNrGzPz,0,1996-03-12,MASC,22,Secundario,Graduado,Encargado de Local - Avellaneda,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Ventas,WORLD SPORT SRL
1112455864,6rQe9ML,0,1989-11-18,MASC,28,Terciario/Técnico,Graduado,Arquitecto/a - Diseñador/a Jr. ,Gran Buenos Aires,,Full-time,Junior,Diseño de Interiores / Decoración,Adecco - Región NORTE & OESTE GBA
1112207828,8JY4BR,0,1975-07-28,FEM,42,Terciario/Técnico,Graduado,Oficial albañil,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Otros,Assistem
1112334791,pze52pm,0,1991-04-23,FEM,27,Secundario,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,96MPY4w,1,1995-03-15,MASC,23,Secundario,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,xkem66b,1,1985-06-08,FEM,33,Otro,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,LNPdJWw,1,1991-07-24,FEM,26,Otro,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,QNrVwql,1,1992-02-08,FEM,26,Universitario,Abandonado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,0zddM1v,1,1993-03-16,FEM,25,Secundario,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,PmV8o81,1,1995-07-24,FEM,22,Universitario,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,vVDOLL1,1,1993-10-27,MASC,24,Otro,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,GNXrpPK,1,1996-01-29,MASC,22,Universitario,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,Nzr9WdD,1,1997-07-13,FEM,20,Universitario,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,0zdMl8a,1,1997-03-18,MASC,21,Universitario,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,OqjVlad,1,1996-08-09,FEM,21,Secundario,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,MVrv6X3,1,1997-12-14,FEM,20,Secundario,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,rmdX9lQ,1,1995-03-15,FEM,23,Secundario,Graduado,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
1112334791,KBr18jp,1,1999-10-27,FEM,18,Universitario,En Curso,Cajero/a - Part Time ,Gran Buenos Aires,,Full-time,Senior / Semi-Senior,Comercial,Farmacity
